,MEblack,MEbrown,MEchocolate,MEcoral,MEdarkred,MEdarksalmon,MEfirebrick,MEgainsboro,MEindianred,MElightcoral,MElightgrey,MElightsalmon,MEmaroon,MEorangered,MErosybrown,MEsaddlebrown,MEsalmon,MEseashell,MEsilver,MEtomato,MEwhite,MEwhitesmoke
ACH-000201,-0.003372798188698265,-0.001319382034272347,-0.0050540439427225105,-0.004406920458218464,-0.0009418261926187777,-0.00501339648103595,-0.0014216390459634374,-0.019175904806781635,-0.002457159403532528,-0.007591966118879719,0.01877004900681718,-0.008047749740988,-0.0006912982616710802,0.00017202924576901278,0.006658779982886766,-0.0016771010087419976,0.0019220872622201827,-0.0013766366097078073,-0.003971848948318072,-0.00681991106044341,0.0011709139475994611,0.013030835250390498
ACH-000788,0.005913117541036617,-0.000436472579464832,-0.005909023346741832,-0.0031170991111318922,0.04611432991597993,-0.0031097314745816207,-0.0061355268660264976,-0.02103497012840333,-0.0006189332329172908,-0.007999542675056886,0.02154710463943501,-0.0035786592925907564,0.011543728246687082,-0.003042867574362268,-0.0018511567553834401,-0.0038099755927922395,-0.006795424623678036,-0.003271781822800589,-0.0028886560386779214,-0.007804011121177487,-0.002485619599447512,0.018225818486596754
ACH-000740,-0.0028837753875561173,-0.002260129283134647,-0.0026377269736240624,-0.004329127141603025,-0.005843869524612129,-0.004620893503197411,-0.003782242168769371,0.03172291920637977,-0.005938169506978462,-0.002379389128382746,0.00023124189439932248,-0.0077788169515212195,-0.016028341364106524,-0.0025308900028435328,-0.003644228065301122,-0.0036064419803145484,-0.008585148814633712,-0.004678767468497748,-0.010121046160380927,-0.0058210954489027284,-0.00131696123290167,0.0037662827500166544
ACH-000657,0.0038636748145457586,-0.0057788072525959255,0.0004609233490849683,0.0034211510734643382,-0.008216005663142022,0.002453820655953812,-0.004698479766675678,-0.021300351276213422,-4.311153542559171e-05,-0.008832982572786387,-0.012049525145591187,-0.008698515376134544,0.013829646079116865,-0.0041794350833947854,-0.0011188332411738258,-0.005485959456271744,0.008823934768762674,-0.0033324359169482607,-0.014332776502305156,-0.004287353469880618,0.001835115728293383,-0.00876550754394062
ACH-000219,0.0037645569166110723,-0.003796367273802226,0.0029030426325111713,0.006601232305936098,-0.006198873217580199,-0.004127038072590579,-0.005935637805925075,-0.02008868214526458,-0.006233925838199482,-0.008096185166968127,-0.01071910765686454,-0.0011967032598119247,0.011794508975463143,-0.002543932209353617,0.00479831208712406,-0.004533039277467035,-0.005274028520869402,-0.004099218494208966,-0.011063921942511639,0.0011205301933888809,0.005091584174755491,0.009600345439963475
ACH-000697,0.0018165223451415704,0.00029842453931771835,0.00039941155594095924,0.010295259520872698,-0.0032635749791744746,0.013937511614809741,0.003987474723897047,-0.015965118925992984,0.007325032972769671,-0.0028161640920855787,0.004106645078029134,-0.0020037274492821127,0.01185237351119722,-0.004337801357814396,0.02893908623159404,0.008136525645646384,-0.007377025021319649,-0.0006877882524306032,0.04606745743978307,0.04188671722367547,0.0041710014456920975,-0.031635175698537854
ACH-000757,0.0016344948081422229,-0.005443628903771954,-0.006632106311273629,-0.006326371750107755,-0.009132581212886346,-0.005924926284611466,-0.010028859327837562,0.0009066921955420492,-0.009174961637444677,-0.006100467901092416,-0.01705337041222338,-0.0071008409001797135,-0.008296512531330295,0.0017024824911881975,-0.005173796214423416,-0.0062595506360700786,0.0015696255603254437,-0.008201179332723057,-0.018456376294280645,-0.008510307752483352,-0.010398763946988437,-0.002027326777860714
ACH-000555,-0.005993911920445801,-0.006219281783532168,-0.00651074250139088,-0.006169521939034905,-0.0073855976784244284,-0.0036372619761801746,-0.00810166859451837,-0.006706435408217184,-0.008239698654561107,-0.008211682538950769,-0.012376889020343777,-0.00899786856096633,-0.03988919293627744,-0.006311808487228147,-0.0035344973513020605,-0.003441348451107482,-0.014487750309368429,-0.009837132301811925,-0.021607170632128702,-0.01007018862465302,-0.013677339473159167,0.016727884710772543
ACH-000157,0.0021382843672781825,0.0005847106926087801,0.004135418427053521,0.0021082121592392593,-0.0010638601977894986,0.031387021952465226,0.0046641428978373535,-0.01998927045032503,0.011466046417253708,0.013383364262578102,0.013477219956963377,0.002337849553105791,0.021011386656341505,2.774594548514452e-05,0.017336999284358782,0.03520601368886309,-0.007988630083600812,0.014594038054540062,0.05545958911714267,0.04506897309371965,0.004291228175017469,-0.03116882258263105
ACH-000681,-0.008503985205726356,-0.006657075788774698,-0.0069830306395133705,-0.009006138467235364,-0.009047890069058732,-0.0058261355858335645,-0.009890407653103691,-0.006097964419845348,-0.007696746864954045,-0.009523620266031053,-0.014048882416696983,-0.007751326009269627,-0.026032667772886958,-0.007620880203662939,-0.005935886476430181,-0.0040483839421427276,-0.014449766705556998,-0.010278389109389649,-0.02749715953197969,-0.00957031914497217,-0.010052754659796038,0.007091614324786876
ACH-000052,-0.003551039768104148,0.0029035582886498433,0.005361296557604985,-0.0025790554958495067,-0.003249605063702045,0.0055610431676925785,0.003280704318230305,-0.016265641613712443,0.005817651529750439,-0.0016944694303441428,0.01868357601155458,0.0003095826466486885,0.0325531588414523,0.003930828462069196,0.011401249159343662,-0.0016837976040478939,0.04383937320044415,0.0016715181309705687,0.007605225662035996,-0.005178626068969539,0.27256126547910825,0.005203847115168243
ACH-000429,0.0018102240113106365,0.0020562086673055766,-0.0007848858713461168,0.019836146261517758,-0.006581869859727319,-0.0027056072631218976,-0.004407129418076559,-0.0057265893373136985,0.0015120587387195239,-0.007111132412842439,0.00964689233161749,0.006620760761062318,-0.040496855503103515,0.013373909578823985,-0.002261622677289895,-0.0013737288884876572,-0.015236477037611901,-0.0025250147305325935,-0.00987438634724201,0.005697046279325434,0.010728459907822186,-0.02192864830045329
ACH-000528,-0.0009574818092220524,-0.004567132989476185,-0.000826912839691554,0.0006130894672055572,-0.007690824528148064,-0.005359202190124855,-0.008697331924845304,0.025117413564877584,-0.008287459299423195,-0.009435208509864393,-0.014157699787172132,-0.004294581897488838,-0.003160817137633078,0.002546205677656519,-0.004688235177806349,-0.003088499377585679,-0.01633850894556405,-0.005747890673379599,-0.023340311969508306,-0.0018557844958451489,-0.005347951982431248,0.003139908623771966
ACH-000086,0.004037713571603863,0.0004584378459218481,-0.0063112552765464515,-0.003186491983496327,-0.009858560877683869,-0.006536978118655025,-0.01001228479586942,-0.019905802109449644,-0.008183751808086285,-0.008729696633092351,0.016163128975822286,-0.007442176860950161,-0.030970988708661103,-0.003965161039488203,-0.00305643372117453,-0.0055979063355216805,-0.018248032935096605,-0.0070975092662864895,-0.01602675145225495,-0.000966339791020149,0.0021684407345619,0.008167721359815003
ACH-000046,0.000199464012337319,1.6733275847202302e-05,-0.00474924814960622,0.00046716635193906473,-0.004961895188072036,-0.004345873045061382,-0.008975249703738659,-0.00196676546694986,-0.0037181536433624676,-0.008420061952744022,0.004837957811694133,-0.005415363969250396,-0.010635357502694781,-0.00215380336520755,-0.002108134339750672,-0.0013560550269714844,-0.010220148340334006,-0.008902737318337867,-0.012407170006107646,-0.003943373156061647,-0.009342530144723967,0.02396171882370327
ACH-000880,-0.006736666484448743,-0.0031011927255983553,-0.0038116419801832746,-0.0002869987347526654,-0.005982092714845599,0.0012513765676101063,-0.0008434086216186961,0.0335742545115236,-0.007683818548607011,-0.0038193349174414143,-0.0034128846263247917,-0.003106889220169323,0.017476797475535415,0.0024697633280888584,-0.0034160420303109393,-0.005900986561960559,-0.016441582612935827,-0.007115430607533711,-0.016749370048954392,-0.0013623925100499674,-0.01423987427409605,0.011811682964478926
ACH-000105,-0.0014434403495659999,-0.0017371375924050965,-0.006324958868325029,-0.0006584196484396696,-0.007057267728055116,0.0024161649095803626,0.006263700715393696,-0.04126529002324379,-0.008747824781950563,0.21359075148712184,0.008070668771537476,0.06339425623359411,0.03673708931259467,-0.004091386353760958,0.0035578150969239764,-0.0036753041746105395,-0.00915484751607994,-0.007837049017320324,0.05595549290968823,-0.007631720078494282,-0.005937921517534394,-0.05135375324264071
ACH-000269,0.0010156568425271923,0.005771593630813454,-0.0011545235136053004,0.016395854631137123,0.002114514912848652,-0.0021502397903726406,-0.0010460277740920506,-0.023382615885009363,0.014454575840256039,0.01003945567263373,0.028157270300718774,-0.0038690067413224834,0.008981067202451037,-0.0030194312339694458,0.015020507890089562,0.0377264217563054,-0.009160389072775837,-0.005579876626278987,0.0023075804918807506,0.008847270342237059,0.002179987920960187,0.02529521261883724
ACH-000557,0.004290953871410308,0.0024459440765345836,-0.007464736412603995,-0.002306714929072986,-0.004432665281192787,-0.004925368109156047,0.016410350007714725,-0.03397321147293908,-0.005096421163593561,0.003416128190278456,0.029887337071763265,0.011245816331830623,0.013410084602289,0.004134019861475242,-0.004955372573835368,-0.0005378435046598316,-0.01299773306275718,-0.0011859107763118619,0.07497439520470779,0.013046147934385587,-0.005006193227522142,-0.03606468141177151
ACH-000838,-0.0010787198128151035,-0.002698744798424691,-0.004939914693376155,-0.004821318806370477,-0.008186966263479922,-0.005123717546351228,-0.005697852091326617,-0.03140198134770989,-0.003271221701111608,-0.0036941627425676393,0.005686008656197622,-0.0073666889188474536,-0.013306813118497185,-0.005690183433227632,0.007790234096599544,-0.000676658481758807,-0.015565223207891145,-0.0029009918242322973,0.03882439529829426,0.0011008749233741171,-0.0017689942771794086,-0.0521944215807743
ACH-000940,-0.003267735167577935,0.0016043587792304856,0.007255647027363812,0.0019222144086902405,-0.0035153809482212123,-0.0019240032707743598,-0.00533306146790569,-0.01379310836903875,0.002409548900225742,-0.0029000721702904836,0.0013564181797789162,0.0006838175846141818,0.038086394809397454,0.007492102568917025,0.0001881815718272966,-0.00016269390791438286,0.017911582924081904,0.0005137326419370271,-0.002681577438919331,0.013379148241386961,-0.0060603620233693626,0.009120074238096326
ACH-001329,-0.005328960755801538,-0.013960595008226944,-0.006913279503839161,-0.00947855267440396,-0.009442643617076002,-0.006619765661093637,-0.008847268486775979,-0.024457372099164043,-0.006488095388258398,-0.008176242122015807,-0.05046795954089792,-0.009899697187191192,-0.019605370167237075,-0.009013322639274417,-0.004049377690740399,-0.005641575984879846,-0.004769360135930018,0.0038716065195468262,-0.03310523145019253,-0.009057530606574058,-0.004701755756569814,0.040735680315548195
ACH-000222,0.0026852528267365164,-0.0019353712053003763,-0.00026705735086020896,0.0007452161918477272,-0.007279859273215787,-0.001591578384917871,-0.0083482758177176,0.048310628246627976,-0.004681617533564858,-0.007644203830404538,0.001715101051726548,-0.0020450881456526163,-0.026955233266072035,0.001639147188998203,-0.0029831178488462506,-2.0896070316905725e-05,-0.019279276258764022,-0.008998669618212362,-0.008257157406614472,-0.004388983965027937,-0.009107920168345836,0.0014589231685162346
ACH-000248,-0.0038195621682346518,-0.0029638165037736155,0.016023267166112822,-0.0006432112165808317,-0.00945128949308297,-0.00030124053352286747,-0.005484662666011174,0.04244914533653349,-0.0016238507384632303,-0.0020167639124473234,0.0006770809179380516,-0.005642058794802626,-0.004342093190433362,-0.0028178302464141837,-0.002329960234817056,-0.004547920992080278,-0.014649856554408834,-0.003866768222456446,-0.013867831828357262,0.003655801376808159,-0.007376294229878191,-0.004470219261335662
ACH-000593,-0.003928979513546701,-0.0034003545593258716,-0.001231212835692247,-0.0029066312064452288,-0.0090702961235359,-0.0008725588327468161,-0.004056431272486644,0.010213077554557007,-0.006318972800305422,-0.0042911568358099976,-0.0034212102488348013,-0.0013205061358555561,-0.008332080366126244,-0.004294468052446753,-0.0046582796232572865,0.000595661469576005,-0.013108048826573418,-0.0084211506447315,-0.013500443309757089,-0.00216707884469125,-0.009967777022542366,0.013540295916355569
ACH-000923,0.003929291838268391,0.02015058633281819,-0.005568102022179594,0.006368849024480839,-0.0045436546276216684,-0.0002346772153537653,0.0035199778805193684,-0.021146574889542923,-0.0019142294926492714,0.007742185634426999,0.08505809650585837,-0.004212974649925651,0.0164193966389026,0.0031442762339400645,-0.0040054605754265265,-0.00316523263370504,-0.01173413193517665,-0.0026956875342908507,0.044674095049381295,0.03016651247733203,0.006794145776610495,-0.03795657538105902
ACH-000456,-0.0031731847974946596,0.01933301381721276,0.006062745466536978,0.007571168297626836,-0.0022599881023614727,0.0040468378018507795,0.001777695310000624,-0.006766741228754724,0.004207279790151979,-0.005878969976461848,0.06934407034010867,-0.008305975558866897,-0.0006812355994929215,-0.002919386928679478,0.016949401338777544,0.006831704240258117,-0.0026942184741413615,0.0007090146337097413,0.02391913113592751,0.012262294374759522,0.006451226791046822,0.028638152876201677
ACH-000080,-0.0005949496428332092,-0.00831687083268872,-0.006775408684026716,-0.004520331673513534,-0.004855979224007262,-0.004107767417788237,-0.0004291698908223461,-0.04163938523283873,-0.008120678214508683,0.014996287948918142,-0.019106516954536076,-0.0010914711690808772,-0.017527737378055182,-0.003641199620364017,-0.0009611311929084705,0.0006005353335885065,-0.01874066076228798,-0.008358904294912711,0.05409466822945587,-0.005262851724671452,0.006069388866371053,-0.0509082109787662
ACH-000603,-0.0006683051329933663,0.0038487619901847827,0.01123426576727529,0.00144933528019126,-0.002036519502628278,0.008596936859995666,-0.003625779082951498,0.037500025453040174,0.017643945087373665,-0.00028300104873761703,0.020557269504977594,-0.0020399297974851927,-0.007269581514539127,0.002268941832529678,-0.0014846974645266512,-0.00246561529504317,0.05104729547494209,-0.0003790111189588968,-0.0012180530573953836,0.006851757292114917,-0.019367808812631913,-0.017158253628281637
ACH-000802,-0.003216735958399577,0.01760586688345287,-0.000412665301870835,-0.0002788064668052974,-0.007325185253234619,-0.0027779076142458734,-0.004884566980686698,0.04125752182740022,-0.0028399764468435354,-0.0057242875750293356,0.06822954352509766,-0.004576789782452236,-0.005853746836129361,-0.00110097781136172,-0.004312128988078104,0.004163874963737594,-0.013187095885216223,-0.006358377699325715,0.009770474060482712,-0.005269330308819635,-0.001367509010500106,-0.0005897471230928122
ACH-000792,-0.005056471095722975,0.016043941350338483,-0.0036807012160329166,0.004657390579035384,-0.008179868300427504,-0.002060380286057069,-0.006269744145707424,-0.018538079872597476,-0.001147027404769521,-0.007214187117654666,0.05862238282976318,-0.007000986324839135,-0.004377929518555677,-0.0015251627727250676,-0.0027794300496492585,0.010770255372440642,-0.016279203597969298,-0.001748715545056163,0.014828842483322325,-0.0014959491049677772,-0.008428680669917655,0.02813444750495853
ACH-000191,-0.003249671305861122,0.01752905007721274,-0.0017651161858967279,0.005114070231903633,-0.008061230397476532,0.002404879271559888,-0.0017626375173262928,0.0035497342199896087,-0.004439267880168552,-0.006592800656360196,0.07018516441612462,-0.0030306028387212334,-0.004929610793216452,-8.141592752625631e-06,0.02086073952835625,-0.0034241413883059207,-0.012817853708574894,-0.004625462800496268,0.019120122330586634,-0.002949477538080022,-0.0013757765024705658,0.014096535914422037
ACH-000548,0.0024936881149736894,0.013346474779963946,-0.0016490519526036113,0.00420640221072837,-0.0026086379125563595,-0.0008089650822796574,0.000575885266457686,0.05468344331427325,0.004986073319903846,0.004219201699829967,0.024540749570722078,0.006589231866994937,0.015304550496773203,0.00034480943188286515,-0.0002231135934052886,0.0056195459205398935,-0.01020203635982937,-0.001868130800739991,0.015837582896142646,0.007870316395345068,-0.022282300227007654,0.022525208591297478
ACH-000503,-0.0049149872903262535,0.008441488890135527,-0.004805880345796994,-0.00496478780239645,-0.007726913013895642,-0.0004677209598606584,-0.007502330913814828,0.01350292613139871,-0.005025346545228341,-0.005847591284691904,0.037372257087078774,-0.009669419193469543,-0.05993342558502301,-0.008806915741820649,-0.005067387165348317,-0.003654076910831486,-0.01856048097221231,-0.0076683447190276505,-0.010875554600128807,-0.010589497799751966,-0.011736095178537747,-0.008711055448038933
ACH-000992,0.008706533115759328,0.8655180758478666,0.0044780805858017254,0.01746591207906567,-0.006917949535207905,0.013257285752921434,0.0006127793204295604,0.029957817536441132,-0.0015712882189554463,-0.0009742692772915884,0.18553046068494022,-0.002398349579238121,-0.010892694833824108,0.01227468421872199,-0.0027955629960847183,0.0197816953819009,0.0023525343367525845,-0.00014552421165981076,0.040254629904665655,0.0066201514907698045,-0.0013164227900520809,0.00044907534188994664
ACH-000794,-0.008103305384059649,-0.0018811158276369514,-0.007027451896381003,-0.006431158259516157,-0.008129908950792679,-0.004691944954363763,-0.010303607609940677,0.026428426847222977,-0.008350096015216774,-0.003216824350678417,0.007103689686600578,-0.011448544843298708,-0.09381854226482614,-0.008380616774699742,-0.0038237065292393434,-0.0043528425907941705,-0.0293546479559354,-0.009809695595410917,-0.02552010648523239,-0.009678106054256152,-0.028137624098931897,-0.034202309694511726
ACH-000228,-0.0052586480451806755,0.010829548011753776,-0.0006968564189786339,-0.0004563694682319707,-0.005916589459303689,0.0010143538404607446,-0.003090709645210225,0.04786820978854927,-0.005076590238554293,-0.004731764674892756,0.054237076065812274,-0.006833413684664013,-0.023058653584855315,-0.007035244180517229,-0.003983464356679068,-0.0001807646937049115,-0.01355767510353831,-0.0038465729908679367,0.005573777671925041,-0.0034226896493038846,-0.011586230148436039,0.021549396697720824
ACH-000771,-0.006303481084703553,-0.0009727956890604719,-0.0035766853790623458,-0.006933138619151152,-0.006754674722796276,-0.003516620987069516,-0.009456026464472937,0.024974361244311325,-0.009877310695302021,-0.005736244643609206,0.0005527827110855039,-0.009101117648905347,-0.09395745834642118,-0.00939746307938578,-0.0051857302325038195,-0.0021907299874407778,-0.02566565586780425,-0.009424947338372994,-0.029229360225384252,-0.009260726523160163,-0.030539545786586637,-0.030310158023821275
ACH-000415,-0.007443806214558219,-0.00496011571916934,-0.0036613831630450005,-0.006984875906550029,-0.006223621597530203,-0.0035953993120911745,-0.00913242202424428,0.018296703756000444,-0.007858302374146737,-0.005586602564740355,-0.007705933962318957,-0.010214990635186723,-0.10725336242165685,-0.00839154867346093,-0.002958610000961185,-0.0035654497097870217,-0.028456592852107346,-0.005473812570017959,-0.03345581128005225,-0.009318399481143748,-0.032351467089113156,-0.050062433770965
